id,bill_month_count_01,bill_month_count_02,bill_month_count_03,bill_month_count_04,bill_month_count_05,bill_month_count_06,bill_month_count_07,bill_month_count_08,bill_month_count_09,bill_month_count_10,bill_month_count_11,bill_month_count_12
23,9.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
24,373.0,45.0,15.0,15.0,15.0,35.0,12.0,245.0,21.0,77.0,83.0,95.0
25,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
27,12.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
28,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
30,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,61.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
35,608.0,1.0,12.0,4.0,9.0,4.0,7.0,11.0,12.0,11.0,13.0,5.0
36,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
37,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
40,28.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,37.0,3.0,5.0,4.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,4.0
43,14.0,0.0,0.0,48.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0
44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
45,24.0,5.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
46,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
47,10.0,6.0,8.0,10.0,9.0,9.0,4.0,11.0,9.0,13.0,5.0,8.0
48,1.0,0.0,1.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0
49,44.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,10.0
50,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
51,8.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,4.0,4.0,4.0,3.0,4.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0
54,0.0,0.0,3.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0
60,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
62,4.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,5.0,2.0,6.0
63,3.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0
64,1.0,2.0,0.0,1.0,2.0,5.0,1.0,0.0,1.0,0.0,2.0,1.0
65,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,10.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,10.0,4.0,2.0,0.0
68,237.0,31.0,21.0,21.0,33.0,27.0,27.0,27.0,27.0,27.0,75.0,54.0
69,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0
72,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,110.0,10.0,8.0,9.0,9.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0
78,19.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0
79,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0
80,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,41.0,4.0,0.0,0.0,0.0,36.0,6.0,6.0,9.0,33.0,6.0,4.0
83,31.0,4.0,3.0,2.0,5.0,1.0,5.0,4.0,3.0,5.0,5.0,4.0
84,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0
88,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,4.0,3.0,3.0,3.0,2.0,2.0,5.0,3.0,3.0,3.0,3.0,2.0
90,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,51.0,12.0,5.0,0.0
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
99,51.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,14.0,1.0,1.0
100,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0
102,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,47.0,19.0,15.0,17.0,17.0,9.0,13.0,16.0,15.0,18.0,16.0,13.0
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,1.0,1.0,0.0,0.0,3.0,2.0,6.0,6.0,4.0,4.0,2.0,2.0
108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,4.0
111,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,2.0
112,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,0.0,1.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
115,29.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,3.0,3.0
116,2.0,0.0,0.0,0.0,0.0,47.0,16.0,15.0,1.0,4.0,2.0,3.0
117,17.0,0.0,0.0,4.0,4.0,9.0,9.0,9.0,6.0,6.0,1.0,0.0
118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,119.0,13.0,14.0,9.0,19.0,14.0,14.0,15.0,16.0,16.0,16.0,13.0
120,25.0,3.0,3.0,3.0,3.0,3.0,6.0,4.0,2.0,17.0,12.0,20.0
121,11.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
122,63.0,6.0,5.0,5.0,9.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0
123,44.0,2.0,5.0,6.0,6.0,7.0,5.0,5.0,0.0,0.0,0.0,0.0
124,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,3.0
125,31.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
126,6.0,4.0,1.0,2.0,2.0,3.0,3.0,1.0,5.0,0.0,1.0,1.0
127,73.0,6.0,5.0,6.0,6.0,4.0,8.0,7.0,11.0,4.0,5.0,8.0
128,23.0,2.0,2.0,0.0,1.0,0.0,1.0,3.0,2.0,2.0,0.0,1.0
129,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,30.0,0.0,0.0
131,138.0,9.0,2.0,5.0,6.0,7.0,8.0,8.0,11.0,11.0,11.0,14.0
132,0.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
133,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
134,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,1.0,0.0,0.0,2.0,2.0,4.0,4.0,7.0,2.0,4.0,2.0,3.0
137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,13.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0
139,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
140,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,4.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0
143,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,6.0,4.0,5.0,2.0,3.0,4.0,6.0,6.0,5.0,4.0,5.0,5.0
146,2.0,2.0,1.0,1.0,4.0,1.0,2.0,4.0,3.0,2.0,1.0,3.0
147,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0
148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,43.0,1.0,2.0,14.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
150,1.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0
151,0.0,0.0,2.0,2.0,2.0,7.0,4.0,4.0,3.0,3.0,3.0,3.0
152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,25.0,6.0,1.0,4.0,1.0,2.0,1.0,4.0,5.0,4.0,5.0,6.0
154,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
158,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
159,6.0,0.0,6.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0
160,0.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0
162,3.0,4.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
163,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
164,72.0,0.0,0.0,0.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
165,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
166,7.0,5.0,7.0,3.0,3.0,2.0,3.0,3.0,1.0,4.0,1.0,3.0
167,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
168,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
169,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,38.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,5.0,4.0,3.0
171,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0
172,1.0,2.0,1.0,3.0,3.0,2.0,1.0,5.0,2.0,7.0,4.0,6.0
173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0
175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0
179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,3.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0
185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0
189,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,2.0
190,8.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,6.0,5.0,6.0,10.0
191,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,5.0,2.0,0.0
193,2.0,3.0,2.0,3.0,17.0,32.0,5.0,3.0,3.0,3.0,3.0,3.0
194,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
195,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,94.0,5.0,5.0,4.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,24.0
201,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0
202,43.0,0.0,0.0,0.0,0.0,1.0,6.0,9.0,5.0,7.0,6.0,9.0
203,0.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0
204,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
205,214.0,3.0,1.0,1.0,1.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0
206,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
208,192.0,20.0,16.0,37.0,11.0,15.0,27.0,12.0,36.0,12.0,12.0,12.0
209,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
210,28.0,2.0,5.0,5.0,5.0,4.0,4.0,8.0,3.0,5.0,2.0,4.0
211,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
212,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,0.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,3.0
216,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,8.0,0.0,0.0,3.0,0.0,4.0,0.0,2.0,2.0,3.0,3.0,3.0
218,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,4.0,0.0,0.0,2.0,11.0,26.0,8.0,2.0,8.0,8.0,4.0,4.0
220,32.0,5.0,6.0,6.0,5.0,6.0,7.0,1.0,1.0,2.0,1.0,3.0
221,10.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
222,44.0,5.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,6.0,3.0,2.0
223,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,34.0,3.0,3.0,3.0,6.0,1.0,1.0,3.0,3.0,5.0,3.0,3.0
226,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
228,6.0,10.0,8.0,10.0,9.0,7.0,9.0,9.0,9.0,8.0,6.0,7.0
229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,3.0,3.0,4.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0
231,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
232,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,68.0,7.0,10.0,7.0,5.0,5.0,4.0,8.0,6.0,9.0,9.0,9.0
236,22.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,12.0,8.0,8.0,28.0
237,2.0,3.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
238,69.0,71.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,225.0,19.0,31.0
239,3.0,2.0,3.0,0.0,3.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0
240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,154.0,9.0,14.0,6.0,5.0,7.0,9.0,11.0,5.0,7.0,12.0,14.0
242,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,2.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0
245,13.0,10.0,12.0,12.0,11.0,6.0,11.0,14.0,16.0,14.0,15.0,15.0
246,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,2.0,2.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,7.0,10.0,10.0,8.0,8.0,7.0,14.0,14.0,7.0,6.0,8.0,8.0
255,137.0,18.0,21.0,27.0,21.0,30.0,39.0,71.0,42.0,33.0,38.0,31.0
256,26.0,3.0,2.0,7.0,3.0,9.0,3.0,2.0,3.0,3.0,3.0,4.0
257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
258,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0
259,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,9.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
263,12.0,4.0,5.0,5.0,4.0,5.0,4.0,1.0,5.0,4.0,4.0,5.0
264,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,2.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0
266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,3.0,0.0,0.0,0.0,3.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0
268,1.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,6.0,1.0
269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,5.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,8.0,2.0,3.0
273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,56.0,27.0,15.0,26.0,39.0,25.0,27.0,31.0,33.0,24.0,24.0,25.0
275,11.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
